total lines: 169
1) line size: 6
  12) x: 10  y: 45
  13) x: 10  y: 43
17) line size: 4
  1) x: 116  y: 157
  2) x: 118  y: 155
  3) x: 119  y: 154
  4) x: 117  y: 156
18) line size: 8
  1) x: 9  y: 49
  2) x: 10  y: 51
  3) x: 10  y: 52
  4) x: 11  y: 52
  5) x: 12  y: 52
  6) x: 13  y: 51
  7) x: 13  y: 50
  8) x: 13  y: 49
19) line size: 6
  1) x: 104  y: 195
  2) x: 105  y: 194
  3) x: 107  y: 192
  4) x: 107  y: 191
  5) x: 106  y: 192
  6) x: 105  y: 193
20) line size: 4
  1) x: 30  y: 52
  2) x: 32  y: 54
  3) x: 33  y: 56
  4) x: 34  y: 57
21) line size: 17
  1) x: 75  y: 159
  2) x: 77  y: 159
  3) x: 79  y: 160
  4) x: 81  y: 161
  5) x: 83  y: 161
  6) x: 85  y: 161
  7) x: 87  y: 161
  8) x: 89  y: 161
  9) x: 91  y: 161
  10) x: 93  y: 161
  11) x: 95  y: 161
  12) x: 97  y: 161
  13) x: 99  y: 161
  14) x: 101  y: 161
  15) x: 103  y: 160
  16) x: 105  y: 159
  17) x: 107  y: 159
22) line size: 25
  1) x: 53  y: 154
  2) x: 55  y: 153
  3) x: 57  y: 153
  4) x: 59  y: 153
  5) x: 61  y: 155
  6) x: 63  y: 157
  7) x: 65  y: 158
  8) x: 67  y: 159
  9) x: 69  y: 161
  10) x: 71  y: 163
  11) x: 73  y: 164
  12) x: 75  y: 165
  13) x: 77  y: 166
  14) x: 79  y: 167
  15) x: 81  y: 169
  16) x: 82  y: 170
  17) x: 82  y: 171
  18) x: 82  y: 173
  19) x: 82  y: 172
  20) x: 81  y: 174
  21) x: 81  y: 176
  22) x: 81  y: 178
  23) x: 81  y: 177
  24) x: 81  y: 175
  25) x: 81  y: 173
23) line size: 6
  1) x: 175  y: 46
  2) x: 177  y: 46
  3) x: 179  y: 46
  4) x: 180  y: 46
  5) x: 178  y: 46
  6) x: 176  y: 46
24) line size: 11
  1) x: 106  y: 197
  2) x: 108  y: 197
  3) x: 110  y: 197
  4) x: 112  y: 197
  5) x: 114  y: 197
  6) x: 116  y: 197
  7) x: 118  y: 197
  8) x: 120  y: 196
  9) x: 122  y: 194
  10) x: 122  y: 193
  11) x: 121  y: 195
25) line size: 4
  1) x: 112  y: 50
  2) x: 112  y: 52
  3) x: 112  y: 54
  4) x: 112  y: 56
26) line size: 2
  1) x: 42  y: 168
  2) x: 47  y: 173
27) line size: 36
  1) x: 99  y: 169
  2) x: 101  y: 168
  3) x: 103  y: 167
  4) x: 105  y: 166
  5) x: 107  y: 166
  6) x: 109  y: 164
  7) x: 111  y: 163
  8) x: 113  y: 162
  9) x: 115  y: 160
  10) x: 116  y: 158
  11) x: 118  y: 156
  12) x: 120  y: 154
  13) x: 122  y: 153
  14) x: 124  y: 152
  15) x: 126  y: 152
  16) x: 128  y: 152
  17) x: 129  y: 152
  18) x: 129  y: 153
  19) x: 130  y: 153
  20) x: 130  y: 154
  21) x: 130  y: 156
  22) x: 131  y: 158
  23) x: 133  y: 160
  24) x: 134  y: 162
  25) x: 136  y: 164
  26) x: 137  y: 165
  27) x: 137  y: 164
  28) x: 135  y: 164
  29) x: 135  y: 163
  30) x: 133  y: 162
  31) x: 133  y: 161
  32) x: 132  y: 160
  33) x: 132  y: 159
  34) x: 131  y: 159
  35) x: 131  y: 157
  36) x: 130  y: 157
28) line size: 45
  1) x: 70  y: 231
  2) x: 72  y: 231
  3) x: 74  y: 231
  4) x: 76  y: 231
  5) x: 78  y: 231
  6) x: 80  y: 231
  7) x: 82  y: 231
  8) x: 84  y: 230
  9) x: 85  y: 230
  10) x: 85  y: 229
  11) x: 85  y: 228
  12) x: 85  y: 227
  13) x: 85  y: 226
  14) x: 85  y: 225
  15) x: 85  y: 224
  16) x: 86  y: 222
  17) x: 87  y: 220
  18) x: 87  y: 219
  19) x: 87  y: 218
  20) x: 87  y: 217
  21) x: 87  y: 216
  22) x: 87  y: 215
  23) x: 88  y: 213
  24) x: 90  y: 211
  25) x: 91  y: 210
  26) x: 92  y: 211
  27) x: 94  y: 213
  28) x: 95  y: 215
  29) x: 95  y: 217
  30) x: 96  y: 219
  31) x: 97  y: 221
  32) x: 97  y: 223
  33) x: 97  y: 225
  34) x: 97  y: 227
  35) x: 97  y: 229
  36) x: 97  y: 230
  37) x: 98  y: 230
  38) x: 100  y: 231
  39) x: 102  y: 231
  40) x: 104  y: 231
  41) x: 106  y: 231
  42) x: 105  y: 231
  43) x: 103  y: 231
  44) x: 101  y: 231
  45) x: 99  y: 231
29) line size: 7
  1) x: 99  y: 187
  2) x: 101  y: 187
  3) x: 102  y: 188
  4) x: 103  y: 190
  5) x: 104  y: 191
  6) x: 103  y: 189
  7) x: 102  y: 189
30) line size: 8
  1) x: 68  y: 59
  2) x: 70  y: 59
  3) x: 72  y: 59
  4) x: 74  y: 59
  5) x: 76  y: 59
  6) x: 78  y: 59
  7) x: 80  y: 59
  8) x: 80  y: 58
31) line size: 42
  1) x: 115  y: 245
  2) x: 116  y: 244
  3) x: 118  y: 243
  4) x: 120  y: 242
  5) x: 122  y: 240
  6) x: 124  y: 239
  7) x: 126  y: 238
  8) x: 128  y: 238
  9) x: 130  y: 239
  10) x: 132  y: 239
  11) x: 134  y: 240
  12) x: 136  y: 242
  13) x: 137  y: 243
  14) x: 137  y: 244
  15) x: 137  y: 245
  16) x: 136  y: 247
  17) x: 136  y: 246
  18) x: 136  y: 245
  19) x: 135  y: 247
  20) x: 134  y: 248
  21) x: 134  y: 247
  22) x: 133  y: 248
  23) x: 132  y: 248
  24) x: 131  y: 248
  25) x: 130  y: 248
  26) x: 129  y: 248
  27) x: 128  y: 248
  28) x: 127  y: 248
  29) x: 126  y: 248
  30) x: 125  y: 248
  31) x: 124  y: 248
  32) x: 123  y: 248
  33) x: 122  y: 248
  34) x: 121  y: 248
  35) x: 120  y: 248
  36) x: 119  y: 248
  37) x: 118  y: 248
  38) x: 117  y: 248
  39) x: 116  y: 248
  40) x: 116  y: 247
  41) x: 115  y: 247
  42) x: 115  y: 246
32) line size: 5
  1) x: 156  y: 43
  2) x: 156  y: 45
  3) x: 156  y: 47
  4) x: 156  y: 49
  5) x: 156  y: 51
33) line size: 27
  1) x: 85  y: 175
  2) x: 85  y: 177
  3) x: 85  y: 179
  4) x: 85  y: 181
  5) x: 85  y: 183
  6) x: 85  y: 185
  7) x: 85  y: 187
  8) x: 85  y: 189
  9) x: 85  y: 191
  10) x: 86  y: 192
  11) x: 87  y: 193
  12) x: 89  y: 193
  13) x: 91  y: 193
  14) x: 93  y: 193
  15) x: 92  y: 193
  16) x: 90  y: 193
  17) x: 88  y: 193
  18) x: 86  y: 193
  19) x: 85  y: 192
  20) x: 85  y: 190
  21) x: 85  y: 188
  22) x: 85  y: 186
  23) x: 85  y: 184
  24) x: 85  y: 182
  25) x: 85  y: 180
  26) x: 85  y: 178
  27) x: 85  y: 176
34) line size: 19
  1) x: 103  y: 136
  2) x: 105  y: 136
  3) x: 107  y: 136
  4) x: 109  y: 136
  5) x: 111  y: 136
  6) x: 113  y: 134
  7) x: 115  y: 134
  8) x: 117  y: 132
  9) x: 117  y: 131
  10) x: 116  y: 133
  11) x: 116  y: 132
  12) x: 115  y: 133
  13) x: 114  y: 134
  14) x: 112  y: 135
  15) x: 111  y: 135
  16) x: 110  y: 136
  17) x: 108  y: 136
  18) x: 106  y: 136
  19) x: 104  y: 136
35) line size: 9
  1) x: 127  y: 158
  2) x: 129  y: 160
  3) x: 130  y: 162
  4) x: 132  y: 164
  5) x: 133  y: 166
  6) x: 133  y: 168
  7) x: 133  y: 170
  8) x: 133  y: 171
  9) x: 134  y: 171
36) line size: 13
  1) x: 65  y: 132
  2) x: 67  y: 134
  3) x: 69  y: 135
  4) x: 71  y: 136
  5) x: 73  y: 137
  6) x: 75  y: 137
  7) x: 76  y: 137
  8) x: 77  y: 137
  9) x: 79  y: 137
  10) x: 78  y: 137
  11) x: 77  y: 139
  12) x: 77  y: 140
  13) x: 77  y: 138
37) line size: 18
  1) x: 64  y: 130
  2) x: 65  y: 130
  3) x: 66  y: 130
  4) x: 68  y: 131
  5) x: 70  y: 132
  6) x: 72  y: 133
  7) x: 74  y: 133
  8) x: 76  y: 133
  9) x: 78  y: 134
  10) x: 80  y: 133
  11) x: 81  y: 132
  12) x: 81  y: 131
  13) x: 82  y: 130
  14) x: 82  y: 129
  15) x: 82  y: 128
  16) x: 82  y: 127
  17) x: 82  y: 126
  18) x: 83  y: 126
38) line size: 5
  1) x: 105  y: 243
  2) x: 107  y: 243
  3) x: 109  y: 243
  4) x: 111  y: 243
  5) x: 113  y: 243
39) line size: 12
  1) x: 134  y: 54
  2) x: 135  y: 53
  3) x: 136  y: 53
  4) x: 137  y: 53
  5) x: 138  y: 54
  6) x: 140  y: 55
  7) x: 140  y: 57
  8) x: 141  y: 58
  9) x: 142  y: 59
  10) x: 144  y: 59
  11) x: 143  y: 59
  12) x: 142  y: 58
40) line size: 25
  1) x: 106  y: 170
  2) x: 108  y: 170
  3) x: 109  y: 169
  4) x: 111  y: 167
  5) x: 112  y: 167
  6) x: 114  y: 167
  7) x: 116  y: 166
  8) x: 118  y: 164
  9) x: 120  y: 162
  10) x: 122  y: 160
  11) x: 124  y: 158
  12) x: 126  y: 156
  13) x: 128  y: 155
  14) x: 126  y: 155
  15) x: 125  y: 156
  16) x: 124  y: 157
  17) x: 123  y: 158
  18) x: 122  y: 159
  19) x: 121  y: 160
  20) x: 120  y: 161
  21) x: 119  y: 162
  22) x: 118  y: 163
  23) x: 117  y: 164
  24) x: 116  y: 165
  25) x: 114  y: 166
41) line size: 15
  1) x: 78  y: 141
  2) x: 79  y: 141
  3) x: 80  y: 140
  4) x: 81  y: 138
  5) x: 82  y: 137
  6) x: 83  y: 135
  7) x: 84  y: 134
  8) x: 85  y: 132
  9) x: 85  y: 131
  10) x: 85  y: 130
  11) x: 85  y: 129
  12) x: 85  y: 128
  13) x: 85  y: 127
  14) x: 85  y: 126
  15) x: 84  y: 126
42) line size: 8
  1) x: 77  y: 147
  2) x: 78  y: 147
  3) x: 77  y: 148
  4) x: 77  y: 149
  5) x: 79  y: 151
  6) x: 78  y: 151
  7) x: 78  y: 150
  8) x: 77  y: 150
43) line size: 8
  1) x: 67  y: 130
  2) x: 69  y: 132
  3) x: 71  y: 133
  4) x: 73  y: 133
  5) x: 75  y: 133
  6) x: 77  y: 133
  7) x: 79  y: 134
  8) x: 79  y: 133
44) line size: 15
  1) x: 21  y: 158
  2) x: 23  y: 157
  3) x: 25  y: 156
  4) x: 27  y: 157
  5) x: 29  y: 157
  6) x: 31  y: 159
  7) x: 33  y: 160
  8) x: 35  y: 161
  9) x: 37  y: 162
  10) x: 39  y: 162
  11) x: 40  y: 162
  12) x: 42  y: 160
  13) x: 43  y: 159
  14) x: 44  y: 159
  15) x: 45  y: 159
45) line size: 5
  1) x: 105  y: 182
  2) x: 105  y: 184
  3) x: 105  y: 186
  4) x: 105  y: 185
  5) x: 105  y: 183
46) line size: 19
  1) x: 54  y: 153
  2) x: 56  y: 153
  3) x: 58  y: 153
  4) x: 60  y: 154
  5) x: 62  y: 156
  6) x: 64  y: 158
  7) x: 66  y: 159
  8) x: 68  y: 160
  9) x: 70  y: 162
  10) x: 72  y: 163
  11) x: 74  y: 164
  12) x: 76  y: 165
  13) x: 78  y: 166
  14) x: 80  y: 168
  15) x: 82  y: 169
  16) x: 81  y: 168
  17) x: 80  y: 167
  18) x: 79  y: 166
  19) x: 77  y: 165
47) line size: 13
  1) x: 85  y: 150
  2) x: 86  y: 150
  3) x: 86  y: 149
  4) x: 87  y: 149
  5) x: 88  y: 149
  6) x: 90  y: 150
  7) x: 96  y: 149
  8) x: 97  y: 150
  9) x: 97  y: 151
  10) x: 97  y: 152
  11) x: 97  y: 153
  12) x: 96  y: 154
  13) x: 96  y: 153
48) line size: 8
  1) x: 44  y: 168
  2) x: 45  y: 169
  3) x: 46  y: 171
  4) x: 46  y: 173
  5) x: 46  y: 172
  6) x: 45  y: 171
  7) x: 45  y: 170
  8) x: 44  y: 169
49) line size: 53
  1) x: 62  y: 143
  2) x: 62  y: 145
  3) x: 63  y: 147
  4) x: 64  y: 149
  5) x: 65  y: 151
  6) x: 66  y: 153
  7) x: 68  y: 155
  8) x: 70  y: 156
  9) x: 72  y: 158
  10) x: 74  y: 159
  11) x: 76  y: 159
  12) x: 78  y: 160
  13) x: 80  y: 161
  14) x: 82  y: 161
  15) x: 84  y: 161
  16) x: 86  y: 161
  17) x: 88  y: 161
  18) x: 90  y: 161
  19) x: 92  y: 161
  20) x: 94  y: 161
  21) x: 96  y: 160
  22) x: 98  y: 161
  23) x: 100  y: 161
  24) x: 102  y: 161
  25) x: 104  y: 160
  26) x: 106  y: 159
  27) x: 108  y: 159
  28) x: 110  y: 158
  29) x: 112  y: 156
  30) x: 114  y: 155
  31) x: 116  y: 153
  32) x: 118  y: 151
  33) x: 119  y: 149
  34) x: 120  y: 147
  35) x: 120  y: 146
  36) x: 120  y: 145
  37) x: 120  y: 144
  38) x: 120  y: 143
  39) x: 119  y: 142
  40) x: 119  y: 141
  41) x: 119  y: 140
  42) x: 118  y: 140
  43) x: 118  y: 139
  44) x: 118  y: 138
  45) x: 119  y: 136
  46) x: 120  y: 135
  47) x: 121  y: 133
  48) x: 121  y: 132
  49) x: 121  y: 131
  50) x: 120  y: 133
  51) x: 120  y: 134
  52) x: 119  y: 135
  53) x: 118  y: 137
50) line size: 9
  1) x: 67  y: 224
  2) x: 67  y: 226
  3) x: 67  y: 228
  4) x: 68  y: 230
  5) x: 68  y: 229
  6) x: 67  y: 230
  7) x: 67  y: 229
  8) x: 67  y: 227
  9) x: 67  y: 225
51) line size: 18
  1) x: 59  y: 186
  2) x: 59  y: 188
  3) x: 59  y: 190
  4) x: 59  y: 192
  5) x: 59  y: 194
  6) x: 60  y: 195
  7) x: 62  y: 197
  8) x: 64  y: 199
  9) x: 66  y: 199
  10) x: 68  y: 199
  11) x: 70  y: 199
  12) x: 72  y: 199
  13) x: 74  y: 199
  14) x: 75  y: 199
  15) x: 73  y: 199
  16) x: 71  y: 199
  17) x: 69  y: 199
  18) x: 67  y: 199
52) line size: 7
  1) x: 79  y: 140
  2) x: 80  y: 139
  3) x: 81  y: 137
  4) x: 82  y: 136
  5) x: 83  y: 134
  6) x: 84  y: 133
  7) x: 84  y: 132
53) line size: 50
  1) x: 106  y: 207
  2) x: 107  y: 206
  3) x: 107  y: 205
  4) x: 108  y: 205
  5) x: 109  y: 205
  6) x: 109  y: 206
  7) x: 110  y: 206
  8) x: 110  y: 208
  9) x: 110  y: 210
  10) x: 110  y: 212
  11) x: 111  y: 214
  12) x: 112  y: 216
  13) x: 113  y: 218
  14) x: 113  y: 220
  15) x: 113  y: 222
  16) x: 113  y: 224
  17) x: 113  y: 226
  18) x: 113  y: 228
  19) x: 114  y: 230
  20) x: 116  y: 231
  21) x: 117  y: 230
  22) x: 119  y: 229
  23) x: 121  y: 229
  24) x: 123  y: 229
  25) x: 124  y: 228
  26) x: 124  y: 227
  27) x: 124  y: 226
  28) x: 124  y: 225
  29) x: 124  y: 224
  30) x: 124  y: 223
  31) x: 124  y: 222
  32) x: 124  y: 221
  33) x: 124  y: 220
  34) x: 124  y: 219
  35) x: 123  y: 218
  36) x: 123  y: 217
  37) x: 122  y: 216
  38) x: 122  y: 215
  39) x: 122  y: 214
  40) x: 122  y: 213
  41) x: 122  y: 212
  42) x: 122  y: 211
  43) x: 122  y: 210
